TripID,TripDate,State,RouteName,VehicleType,Ridership
TRIP-16868,2023-02-12,New York,Route 6,Standard,29
TRIP-34016,2023-10-04,New York,Route 5,Mini,27
TRIP-19668,2023-07-14,California,Route 1,Standard,40
TRIP-23640,2023-09-08,California,Route 1,Volt,47
TRIP-24018,2022-07-24,Texas,Route 3,HellCat,26
TRIP-17488,2025-06-13,California,Route 2,HellCat,33
TRIP-15804,2023-02-14,Texas,Route 3,HellCat,84
TRIP-22909,2022-02-03,New York,Route 5,Standard,54
TRIP-13386,2022-12-31,Texas,Route 4,Mini,14
TRIP-19567,2023-10-24,Maryland,Route 8,Standard,51
TRIP-31423,2025-08-29,New York,Route 5,Standard,35
TRIP-13503,2023-02-09,Texas,Route 4,Standard,18
TRIP-16657,2022-12-18,California,Route 1,HellCat,65
TRIP-29192,2022-03-09,California,Route 2,Mini,23
TRIP-12518,2024-09-29,California,Route 1,Mini,14
TRIP-23361,2022-01-12,Maryland,Route 8,Volt,52
TRIP-31135,2023-05-11,Texas,Route 3,Mini,18
TRIP-31080,2023-04-29,California,Route 2,HellCat,25
TRIP-16492,2024-04-21,California,Route 2,Standard,22
TRIP-16891,2022-01-24,Texas,Route 4,Mini,26
TRIP-17752,2024-08-05,New York,Route 6,HellCat,76
TRIP-18614,2025-07-18,Florida,Route 7,Mini,18
TRIP-16649,2024-09-04,New York,Route 5,Volt,71
TRIP-12227,2024-09-23,New York,Route 5,HellCat,68
TRIP-22060,2023-06-05,Colorado,Route 9,Volt,55
TRIP-29122,2022-07-08,California,Route 2,Mini,17
TRIP-19622,2024-04-14,New York,Route 6,Standard,43
TRIP-22279,2023-08-20,New York,Route 5,HellCat,6
TRIP-26447,2022-03-22,California,Route 1,Mini,33
TRIP-10423,2024-04-09,California,Route 2,HellCat,44
TRIP-24337,2023-03-28,Florida,Route 7,Mini,19
TRIP-32163,2022-01-23,New York,Route 5,HellCat,30
TRIP-29839,2022-12-04,New York,Route 5,Volt,43
TRIP-22456,2024-02-18,California,Route 1,Volt,6
TRIP-20277,2025-05-04,New York,Route 6,Volt,64
TRIP-33085,2022-06-20,Florida,Route 7,Volt,39
TRIP-11805,2023-09-30,New York,Route 6,Standard,23
TRIP-12790,2025-01-09,Maryland,Route 8,Mini,16
TRIP-34427,2023-02-15,Florida,Route 7,Mini,9
TRIP-27716,2024-10-15,Texas,Route 3,Standard,38
TRIP-14972,2022-01-08,California,Route 1,Mini,9
TRIP-17613,2023-07-18,Colorado,Route 9,Mini,15
TRIP-27238,2024-01-25,New York,Route 6,HellCat,77
TRIP-23570,2025-03-04,Colorado,Route 9,Volt,76
TRIP-17946,2024-07-24,California,Route 1,HellCat,8
TRIP-15100,2023-06-09,California,Route 2,Mini,13
TRIP-33948,2024-05-25,California,Route 1,HellCat,21
TRIP-31182,2023-06-07,Texas,Route 4,Mini,16
TRIP-10733,2025-08-07,California,Route 1,Standard,35
TRIP-28404,2024-07-09,New York,Route 6,HellCat,51
TRIP-13848,2025-01-31,California,Route 1,Standard,42
TRIP-32714,2025-07-18,California,Route 2,Standard,51
TRIP-19888,2025-07-05,Colorado,Route 9,HellCat,31
TRIP-14405,2023-11-05,New York,Route 5,Standard,50
TRIP-32683,2022-03-16,New York,Route 5,HellCat,52
TRIP-13352,2024-09-24,New York,Route 5,HellCat,65
TRIP-25191,2025-11-28,California,Route 2,Standard,44
TRIP-25694,2024-11-24,New York,Route 6,Volt,31
TRIP-29946,2023-05-15,California,Route 2,Standard,43
TRIP-24354,2024-02-05,New York,Route 5,HellCat,44
TRIP-31742,2024-06-19,California,Route 1,Standard,62
TRIP-28353,2022-06-10,Florida,Route 7,Mini,20
TRIP-27580,2022-11-30,Florida,Route 7,HellCat,39
TRIP-32488,2023-09-12,California,Route 1,Standard,60
TRIP-24092,2024-07-27,Texas,Route 4,Mini,11
TRIP-30523,2025-05-16,New York,Route 5,Standard,70
TRIP-13492,2023-02-11,Texas,Route 4,Standard,20
TRIP-29349,2025-10-15,Texas,Route 3,Mini,21
TRIP-25657,2022-09-03,Colorado,Route 9,Mini,14
TRIP-13589,2022-11-27,Florida,Route 7,Standard,16
TRIP-18124,2023-06-07,Florida,Route 7,Mini,16
TRIP-28665,2025-06-10,Texas,Route 3,Standard,25
TRIP-22042,2023-11-12,California,Route 1,Standard,25
TRIP-18504,2024-08-23,Florida,Route 7,Mini,18
TRIP-28724,2023-08-27,California,Route 1,HellCat,47
TRIP-16253,2022-11-22,Florida,Route 7,HellCat,6
TRIP-27244,2024-03-26,California,Route 1,Standard,44
TRIP-22331,2022-12-24,Maryland,Route 8,Mini,15
TRIP-30198,2025-02-17,New York,Route 5,HellCat,88
TRIP-10866,2025-03-06,Colorado,Route 9,HellCat,92
TRIP-21506,2024-06-10,Texas,Route 3,Standard,54
TRIP-22890,2023-02-01,Maryland,Route 8,Mini,35
TRIP-25978,2024-03-28,Colorado,Route 9,Mini,21
TRIP-22758,2025-06-13,Florida,Route 7,Standard,24
TRIP-31916,2024-11-14,Florida,Route 7,Mini,13
TRIP-19807,2024-01-16,New York,Route 6,Volt,85
TRIP-15035,2025-08-07,New York,Route 6,HellCat,105
